version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,74,3159,4,-9,195,-22,178,0,1,0,1,2,0,0,45,2808,5,26,155,-3,131,0
0,2,0,0,0,1,2,0,0,79,3159,9,16,232,14,161,0,1,0,1,2,0,0,46,2808,2,-5,212,14,171,0
0,2,0,0,0,1,2,0,0,79,3159,3,20,168,0,108,0,1,0,1,2,0,0,46,2808,2,10,142,-10,198,0
0,2,0,0,0,1,2,0,0,78,3159,4,-2,139,-16,146,0,1,0,1,2,0,0,45,2808,3,2,120,-35,127,0
0,2,0,0,0,1,2,0,0,73,3159,4,-4,239,-3,173,0,1,0,1,2,0,0,45,2808,2,-14,180,-2,154,0
0,2,0,0,0,1,2,0,0,73,3159,6,-3,199,-3,148,0,1,0,1,2,0,0,45,2808,2,9,221,-1,140,0
0,2,0,0,0,1,2,0,0,73,3159,5,8,217,4,242,0,1,0,1,2,0,0,46,2808,3,-7,186,-5,169,0
0,2,0,0,0,1,2,0,0,73,3159,3,-12,202,-14,194,0,1,0,1,2,0,0,46,2808,4,22,176,3,161,0
0,2,0,0,0,1,2,0,0,73,3159,3,31,144,-4,102,0,1,0,1,2,0,0,49,2808,4,30,236,-42,254,0
0,2,0,0,0,1,2,0,0,73,3510,3,4,160,7,130,0,1,0,1,2,0,0,46,2808,3,15,192,23,222,0
0,2,0,0,0,1,2,0,0,73,3510,6,-8,147,-17,132,0,1,0,1,2,0,0,46,2808,5,10,147,-1,196,0
0,2,0,0,0,1,2,0,0,73,3510,4,3,154,-11,126,0,1,0,1,2,0,0,42,2808,3,16,102,-30,116,0
0,2,0,0,0,1,2,0,0,73,3861,5,9,194,-11,178,0,1,0,1,2,0,0,40,3159,2,9,55,-10,65,0
0,2,0,0,0,1,2,0,0,68,3510,3,11,255,0,255,0,1,0,1,2,0,0,46,3510,2,8,134,-6,119,0
0,2,0,0,0,1,2,0,0,68,3510,5,16,254,2,224,0,1,0,1,2,0,0,49,3510,6,0,255,-30,255,0
0,2,0,0,0,1,2,0,0,63,3510,4,12,200,-10,154,0,1,0,1,2,0,0,49,3510,2,22,134,-23,142,0
0,2,0,0,0,1,2,0,0,59,3510,3,11,168,-9,161,0,1,0,1,2,0,0,52,3510,4,15,187,-5,159,0
0,2,0,0,0,1,2,0,0,67,3861,5,-19,171,10,150,0,1,0,1,2,0,0,52,3510,6,13,245,0,222,0
0,2,0,0,0,1,2,0,0,72,3861,4,4,188,-9,190,0,1,0,1,2,0,0,52,3510,4,33,249,-16,206,0
0,2,0,0,0,1,2,0,0,88,3861,10,2,177,-7,158,0,1,0,1,2,0,0,48,3510,4,-33,249,-4,255,0
0,2,0,0,0,1,2,0,0,94,3861,7,6,240,1,236,0,1,0,1,2,0,0,42,3159,2,14,82,12,68,0
0,2,0,0,0,1,2,0,0,94,3861,5,8,247,-10,206,0,1,0,1,2,0,0,45,3510,3,18,177,10,197,0
0,2,0,0,0,1,2,0,0,94,3861,5,13,255,0,237,0,1,0,1,2,0,0,48,3510,4,19,220,-9,168,0
0,2,0,0,0,1,2,0,0,81,3510,3,3,110,-2,87,0,1,0,1,2,0,0,48,3510,4,17,146,0,119,0
0,2,0,0,0,1,2,0,0,76,3861,7,1,189,-15,178,0,1,0,1,2,0,0,48,3510,5,14,161,-8,175,0
0,2,0,0,0,1,2,0,0,81,3861,8,6,177,-11,161,0,1,0,1,2,0,0,48,3510,2,23,164,-16,158,0
0,2,0,0,0,1,2,0,0,82,3861,3,-24,169,-11,147,0,1,0,1,2,0,0,48,3510,2,16,196,11,221,0
0,2,0,0,0,1,2,0,0,82,3861,5,5,189,-9,191,0,1,0,1,2,0,0,48,3510,4,9,188,-18,188,0
0,2,0,0,0,1,2,0,0,87,3861,5,1,181,-6,159,0,1,0,1,2,0,0,48,3510,2,11,216,-16,171,0
0,2,0,0,0,1,2,0,0,87,3861,5,9,186,-7,165,0,1,0,1,2,0,0,48,3510,4,19,255,-10,255,0
0,2,0,0,0,1,2,0,0,87,3861,6,5,183,-10,177,0,1,0,1,2,0,0,48,3510,3,23,252,-7,214,0
0,2,0,0,0,1,2,0,0,86,3861,5,12,208,-9,164,0,1,0,1,2,0,0,48,3510,2,5,225,7,226,0
0,2,0,0,0,1,2,0,0,87,3861,9,6,222,-5,171,0,1,0,1,2,0,0,48,3510,3,28,255,-12,199,0
0,2,0,0,0,1,2,0,0,86,3861,7,10,188,-17,176,0,1,0,1,2,0,0,48,3510,4,20,232,-23,203,0
0,2,0,0,0,1,2,0,0,86,3861,6,2,227,-16,214,0,1,0,1,2,0,0,48,3510,4,16,186,-16,171,0
0,2,0,0,0,1,2,0,0,86,3861,6,9,240,-14,219,0,1,0,1,2,0,0,48,3510,4,23,214,-18,174,0
0,2,0,0,0,1,2,0,0,86,3861,5,3,214,-11,195,0,1,0,1,2,0,0,45,3510,4,16,172,-18,164,0
0,2,0,0,0,1,2,0,0,80,3861,6,13,216,-18,207,0,1,0,1,2,0,0,45,3510,3,9,200,-14,204,0
