version,headerAuthStatus,nmaStatus,chainInForce,CPKS,osnmaEnabled,numSVs,nmaHeaderUpdate,timSyncEnabled,timSyncStatus,timSyncReqDiff,reserved0,dsmAuthenticationStatus,hashFunction,macFunction,pubKeyId,macLookupTable,keySize,macSize,fromNVS,teslaKeyAuthStatus,wnSf,towSf,chainId,authSVs,authNumTim,timingAuthResult,macAdkdType,pubKeySrc,merkleRootSrc,merkleRootVal,futureMerkleRootSrc,futureMerkleRootVal,pubKeyVal,futurePubKeyVal,futurePubKeySrc,futurePubKeyId
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2950,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3075,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3200,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3326,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3448,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3575,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3700,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3826,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3950,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4075,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,101,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,230,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,354,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,479,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
