version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,93981000,-241821180.36,538576324.05,240576388.05,0,3700.5
0,0,93982000,-241821231.13,538576312.91,240576443.67,0,3640.0
0,0,93983000,-241821292.99,538576296.55,240576485.98,0,3608.3
0,0,93984000,-241821365.88,538576263.79,240576518.22,0,3609.6
0,0,93985000,-241821420.04,538576231.09,240576570.07,0,3626.8
0,0,93986000,-241821465.33,538576185.34,240576615.76,0,3622.1
0,0,93987000,-241821514.68,538576140.77,240576666.07,0,3545.7
0,0,93988000,-241821563.04,538576101.51,240576725.26,0,3401.9
0,0,93989000,-241821610.55,538576046.25,240576786.91,0,3279.0
0,0,93990000,-241821644.31,538575997.21,240576855.08,0,3185.6
0,0,93991000,-241821679.49,538575940.55,240576930.05,0,3126.5
0,0,93992000,-241821697.19,538575895.94,240577000.54,0,3043.6
0,0,93993000,-241821703.2,538575861.48,240577081.82,0,2974.9
0,0,93994000,-241821700.67,538575826.08,240577183.85,0,2926.9
0,0,93995000,-241821722.75,538575813.9,240577292.15,0,2848.3
0,0,93996000,-241821754.85,538575764.8,240577378.57,0,2759.6
0,0,93997000,-241821788.8,538575728.72,240577464.15,0,2655.1
0,0,93998000,-241821845.62,538575692.86,240577560.23,0,2567.2
0,0,93999000,-241821878.25,538575669.71,240577649.16,0,2476.6
0,0,94000000,-241821899.97,538575637.94,240577741.24,0,2437.5
0,0,94001000,-241821922.92,538575592.7,240577828.57,0,2356.6
0,0,94002000,-241821926.16,538575535.81,240577911.36,0,2273.6
0,0,94003000,-241821938.65,538575490.97,240577995.26,0,2234.6
0,0,94004000,-241821950.93,538575443.09,240578073.53,0,2189.7
0,0,94005000,-241821962.05,538575402.54,240578148.54,0,2147.7
0,0,94006000,-241821968.73,538575351.43,240578219.18,0,2110.3
0,0,94007000,-241821973.54,538575287.83,240578297.99,0,2075.3
0,0,94008000,-241821975.23,538575235.3,240578379.55,0,2061.9
0,0,94009000,-241821958.6,538575192.37,240578475.7,0,2047.0
0,0,94010000,-241821913.13,538575172.51,240578551.98,0,2023.4
0,0,94011000,-241821835.49,538575196.66,240578591.25,0,2014.5
0,0,94012000,-241821751.56,538575235.23,240578592.56,0,1986.7
0,0,94013000,-241821684.12,538575290.97,240578555.92,0,1944.3
0,0,94014000,-241821629.41,538575341.11,240578509.65,0,1904.6
0,0,94015000,-241821572.99,538575397.54,240578468.39,0,1875.3
0,0,94016000,-241821514.35,538575448.64,240578422.58,0,1858.0
0,0,94017000,-241821471.32,538575509.87,240578365.01,0,1848.7
0,0,94018000,-241821417.26,538575560.67,240578302.08,0,1845.1
0,0,94019000,-241821353.39,538575626.03,240578256.6,0,1837.7
0,0,94020000,-241821295.25,538575681.18,240578202.24,0,1815.2
0,0,94021000,-241821249.21,538575748.83,240578150.11,0,1798.0
0,0,94022000,-241821199.95,538575800.85,240578089.56,0,1783.1
0,0,94023000,-241821145.31,538575856.4,240578027.17,0,1762.7
0,0,94024000,-241821079.66,538575911.2,240577979.61,0,1743.5
0,0,94025000,-241821009.93,538575955.41,240577934.21,0,1739.8
0,0,94026000,-241820962.44,538576004.32,240577881.42,0,1747.9
0,0,94027000,-241820905.75,538576051.58,240577814.54,0,1759.6
0,0,94028000,-241820844.33,538576094.87,240577747.45,0,1766.0
0,0,94029000,-241820784.04,538576147.0,240577684.93,0,1782.7
0,0,94030000,-241820721.75,538576193.37,240577638.8,0,1801.9
0,0,94031000,-241820684.73,538576248.62,240577587.89,0,1833.4
0,0,94032000,-241820641.39,538576292.88,240577533.5,0,1862.4
0,0,94033000,-241820592.71,538576342.06,240577493.02,0,1888.3
0,0,94034000,-241820540.52,538576388.01,240577448.27,0,1910.8
0,0,94035000,-241820504.32,538576425.38,240577393.22,0,1935.5
0,0,94036000,-241820475.67,538576468.72,240577333.66,0,1969.8
0,0,94037000,-241820467.12,538576503.14,240577262.51,0,1983.5
0,0,94038000,-241820489.06,538576532.68,240577190.28,0,1990.6
0,0,94039000,-241820511.45,538576545.84,240577146.62,0,1977.7
0,0,94040000,-241820538.64,538576521.07,240577113.04,0,1958.1
0,0,94041000,-241820542.06,538576483.78,240577077.75,0,1930.0
0,0,94042000,-241820541.36,538576474.51,240577062.61,0,1947.7
0,0,94043000,-241820543.07,538576485.27,240577061.39,0,1932.1
