iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
93977000,0,0,4,18,4,0,31355641,2441,7,0,1,1
93978000,0,0,4,18,4,0,31355640,2441,7,0,1,1
93979000,0,0,4,18,4,0,31355639,2441,7,0,1,1
93980000,0,0,4,18,4,0,31355638,2441,7,0,1,1
93981000,0,0,4,18,4,0,31355637,2441,7,0,1,1
93982000,0,0,4,18,4,0,31355636,2441,7,0,1,1
93983000,0,0,4,18,4,0,31355635,2441,7,0,1,1
93984000,0,0,4,18,4,0,31355634,2441,7,0,1,1
93985000,0,0,4,18,4,0,31355633,2441,7,0,1,1
93986000,0,0,4,18,4,0,31355632,2441,7,0,1,1
93987000,0,0,4,18,4,0,31355631,2441,7,0,1,1
93988000,0,0,4,18,4,0,31355630,2441,7,0,1,1
93989000,0,0,4,18,4,0,31355629,2441,7,0,1,1
93990000,0,0,4,18,4,0,31355628,2441,7,0,1,1
93991000,0,0,4,18,4,0,31355627,2441,7,0,1,1
93992000,0,0,4,18,4,0,31355626,2441,7,0,1,1
93993000,0,0,4,18,4,0,31355625,2441,7,0,1,1
93994000,0,0,4,18,4,0,31355624,2441,7,0,1,1
93995000,0,0,4,18,4,0,31355623,2441,7,0,1,1
93996000,0,0,4,18,4,0,31355622,2441,7,0,1,1
93997000,0,0,4,18,4,0,31355621,2441,7,0,1,1
93998000,0,0,4,18,4,0,31355620,2441,7,0,1,1
93999000,0,0,4,18,4,0,31355619,2441,7,0,1,1
94000000,0,0,4,18,4,0,31355618,2441,7,0,1,1
94001000,0,0,4,18,4,0,31355617,2441,7,0,1,1
94002000,0,0,4,18,4,0,31355616,2441,7,0,1,1
94003000,0,0,4,18,4,0,31355615,2441,7,0,1,1
94004000,0,0,4,18,4,0,31355614,2441,7,0,1,1
94005000,0,0,4,18,4,0,31355613,2441,7,0,1,1
94006000,0,0,4,18,4,0,31355612,2441,7,0,1,1
94007000,0,0,4,18,4,0,31355611,2441,7,0,1,1
