version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,93958000,31001,39613,70466,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93959000,30630,38966,69286,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93960000,30283,38399,68204,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93961000,29895,37872,67202,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93962000,30535,38811,68788,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93963000,30464,38846,68895,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93964000,29947,38316,67817,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93965000,29564,37853,66933,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93966000,29258,37450,66167,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93967000,28943,37098,65467,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93968000,28576,36661,64612,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93969000,28233,36396,64115,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93970000,27939,36232,63716,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93971000,27703,35872,63215,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93972000,27484,35409,62378,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93973000,26934,34388,60774,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93974000,26712,33945,60121,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93975000,26598,33794,60044,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93976000,26515,33755,60007,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93977000,26403,33661,59963,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93978000,26321,33559,59859,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93979000,26022,33108,59127,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93980000,25511,32044,57636,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93981000,25193,31287,56660,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93982000,24870,30566,55582,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93983000,24616,30008,54968,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93984000,24491,29840,54755,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93985000,24439,29791,54761,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93986000,24355,29602,54425,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93987000,24183,29238,53845,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93988000,23765,28308,52442,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93989000,23097,27130,50514,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93990000,22544,26267,48979,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93991000,22121,25688,47938,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93992000,21694,24879,46560,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93993000,21265,24233,45390,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93994000,20894,23759,44521,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93995000,20451,22993,43248,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93996000,19809,22128,41922,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93997000,19500,21493,41028,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93998000,19155,20944,40599,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93999000,18466,20196,39164,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94000000,18061,19861,38436,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94001000,17434,19258,37124,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94002000,16779,18692,35777,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94003000,16398,18453,35026,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94004000,15982,18222,34176,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94005000,15574,17952,33407,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94006000,15160,17724,32711,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94007000,14805,17505,32040,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94008000,14579,17371,31688,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94009000,14446,17216,31286,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94010000,14271,17000,30771,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94011000,14485,17216,31199,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94012000,14246,17016,30611,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94013000,13878,16672,29873,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94014000,13507,16334,29193,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94015000,13239,16077,28633,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94016000,13386,16316,29060,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94017000,13257,16172,28762,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94018000,13200,16059,28531,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94019000,13071,15905,28277,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94020000,13151,16077,28667,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94021000,12924,15769,28164,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94022000,12722,15475,27698,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94023000,12971,15769,28350,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94024000,12737,15473,27798,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94025000,12635,15294,27449,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94026000,12618,15169,27275,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94027000,12683,15052,27134,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94028000,12792,14863,26907,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94029000,13015,14685,26820,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94030000,13246,14549,26751,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94031000,13502,14490,26857,0,0,0,0,0,0,0
