iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
93975000,3,1,1,1,1,0,1,0,0,1,0,68284,206784
93976000,3,1,1,1,1,0,1,0,0,1,0,68284,207784
93977000,3,1,1,1,1,0,1,0,0,1,0,68284,208784
93978000,3,1,1,1,1,0,1,0,0,1,0,68284,209784
93979000,3,1,1,1,1,0,1,0,0,1,0,68284,210784
93980000,3,1,1,1,1,0,1,0,0,1,0,68284,211784
93981000,3,1,1,1,1,0,1,0,0,1,0,68284,212784
93982000,3,1,1,1,1,0,1,0,0,1,0,68284,213784
93983000,3,1,1,1,1,0,1,0,0,1,0,68284,214784
93984000,3,1,1,1,1,0,1,0,0,1,0,68284,215784
93985000,3,1,1,1,1,0,1,0,0,1,0,68284,216784
93986000,3,1,1,1,1,0,1,0,0,1,0,68284,217784
93987000,3,1,1,1,1,0,1,0,0,1,0,68284,218784
93988000,3,1,1,1,1,0,1,0,0,1,0,68284,219784
93989000,3,1,1,1,1,0,1,0,0,1,0,68284,220784
93990000,3,1,1,1,1,0,1,0,0,1,0,68284,221784
93991000,3,1,1,1,1,0,1,0,0,1,0,68284,222784
93992000,3,1,1,1,1,0,1,0,0,1,0,68284,223784
93993000,3,1,1,1,1,0,1,0,0,1,0,68284,224784
93994000,3,1,1,1,1,0,1,0,0,1,0,68284,225784
93995000,3,1,1,1,1,0,1,0,0,1,0,68284,226784
93996000,3,1,1,1,1,0,1,0,0,1,0,68284,227784
93997000,3,1,1,1,1,0,1,0,0,1,0,68284,228784
93998000,3,1,1,1,1,0,1,0,0,1,0,68284,229784
93999000,3,1,1,1,1,0,1,0,0,1,0,68284,230784
94000000,3,1,1,1,1,0,1,0,0,1,0,68284,231784
94001000,3,1,1,1,1,0,1,0,0,1,0,68284,232784
94002000,3,1,1,1,1,0,1,0,0,1,0,68284,233784
94003000,3,1,1,1,1,0,1,0,0,1,0,68284,234784
94004000,3,1,1,1,1,0,1,0,0,1,0,68284,235784
94005000,3,1,1,1,1,0,1,0,0,1,0,68284,236784
94006000,3,1,1,1,1,0,1,0,0,1,0,68284,237784
94007000,3,1,1,1,1,0,1,0,0,1,0,68284,238784
94008000,3,1,1,1,1,0,1,0,0,1,0,68284,239784
94009000,3,1,1,1,1,0,1,0,0,1,0,68284,240784
94010000,3,1,1,1,1,0,1,0,0,1,0,68284,241784
94011000,3,1,1,1,1,0,1,0,0,1,0,68284,242784
94012000,3,1,1,1,1,0,1,0,0,1,0,68284,243784
94013000,3,1,1,1,1,0,1,0,0,1,0,68284,244784
94014000,3,1,1,1,1,0,1,0,0,1,0,68284,245784
94015000,3,1,1,1,1,0,1,0,0,1,0,68284,246784
94016000,3,1,1,1,1,0,1,0,0,1,0,68284,247784
94017000,3,1,1,1,1,0,1,0,0,1,0,68284,248784
94018000,3,1,1,1,1,0,1,0,0,1,0,68284,249784
94019000,3,1,1,1,1,0,1,0,0,1,0,68284,250784
94020000,3,1,1,1,1,0,1,0,0,1,0,68284,251784
94021000,3,1,1,1,1,0,1,0,0,1,0,68284,252784
94022000,3,1,1,1,1,0,1,0,0,1,0,68284,253784
94023000,3,1,1,1,1,0,1,0,0,1,0,68284,254784
94024000,3,1,1,1,1,0,1,0,0,1,0,68284,255784
94025000,3,1,1,1,1,0,1,0,0,1,0,68284,256784
94026000,3,1,1,1,1,0,1,0,0,1,0,68284,257784
94027000,3,1,1,1,1,0,1,0,0,1,0,68284,258784
94028000,3,1,1,1,1,0,1,0,0,1,0,68284,259784
94029000,3,1,1,1,1,0,1,0,0,1,0,68284,260784
94030000,3,1,1,1,1,0,1,0,0,1,0,68284,261784
94031000,3,1,1,1,1,0,1,0,0,1,0,68284,262784
94032000,3,1,1,1,1,0,1,0,0,1,0,68284,263784
94033000,3,1,1,1,1,0,1,0,0,1,0,68284,264784
94034000,3,1,1,1,1,0,1,0,0,1,0,68284,265784
94035000,3,1,1,1,1,0,1,0,0,1,0,68284,266784
94036000,3,1,1,1,1,0,1,0,0,1,0,68284,267784
94037000,3,1,1,1,1,0,1,0,0,1,0,68284,268784
94038000,3,1,1,1,1,0,1,0,0,1,0,68284,269784
94039000,3,1,1,1,1,0,1,0,0,1,0,68284,270784
94040000,3,1,1,1,1,0,1,0,0,1,0,68284,271784
94041000,3,1,1,1,1,0,1,0,0,1,0,68284,272784
94042000,3,1,1,1,1,0,1,0,0,1,0,68284,273784
94043000,3,1,1,1,1,0,1,0,0,1,0,68284,274784
