iTOW,version,posCovValid,velCovValid,reserved0,posCovNN,posCovNE,posCovND,posCovEE,posCovED,posCovDD,velCovNN,velCovNE,velCovND,velCovEE,velCovED,velCovDD
93915000,0,1,1,1171368248954360692736,3.281198501586914,-1.848745346069336,5.299160003662109,10.472090721130371,-11.62405776977539,34.236572265625,0.016473902389407158,-0.00023574894294142723,0.014677728526294231,0.0356857106089592,-0.020954206585884094,0.07276498526334763
93916000,0,1,1,1171368248954360692736,3.229170322418213,-1.8007711172103882,5.244526386260986,10.19101333618164,-11.337226867675781,33.50103759765625,0.021951427683234215,0.000537593849003315,0.017757225781679153,0.04431616887450218,-0.02849879115819931,0.08521947264671326
93917000,0,1,1,1171368248954360692736,3.186164379119873,-1.7624235153198242,5.169101715087891,10.043479919433594,-11.175159454345703,32.87005615234375,0.023599179461598396,0.0022404040209949017,0.01360450778156519,0.06787234544754028,-0.02854982204735279,0.0869138091802597
93918000,0,1,1,1171368248954360692736,3.1702544689178467,-1.7437841892242432,5.132511138916016,9.900596618652344,-11.002197265625,32.32594299316406,0.02766701951622963,-0.0036459434777498245,0.015089467167854309,0.05347651615738869,-0.025196842849254608,0.08864600956439972
93919000,0,1,1,1171368248954360692736,3.163321018218994,-1.7366297245025635,5.112717628479004,9.786922454833984,-10.87260627746582,31.912874221801758,0.029658542945981026,-0.004980005323886871,0.0156300887465477,0.057842619717121124,-0.025614924728870392,0.09335839003324509
93920000,0,1,1,1171368248954360692736,3.159264087677002,-1.7282992601394653,5.098532199859619,9.660391807556152,-10.722415924072266,31.512832641601562,0.028593897819519043,-0.0035194410011172295,0.01531941071152687,0.05532144755125046,-0.024410758167505264,0.09369965642690659
93921000,0,1,1,1171368248954360692736,3.157309055328369,-1.7205090522766113,5.085074424743652,9.54995346069336,-10.596071243286133,31.14959716796875,0.02900763973593712,-0.003354201093316078,0.015037812292575836,0.055743057280778885,-0.024568995460867882,0.09273529797792435
93922000,0,1,1,1171368248954360692736,3.1607375144958496,-1.7165026664733887,5.079501628875732,9.447196960449219,-10.483341217041016,30.813430786132812,0.0309520922601223,-0.004345227032899857,0.01552584022283554,0.05510597676038742,-0.02499174140393734,0.09143635630607605
93923000,0,1,1,1171368248954360692736,3.162437915802002,-1.7088596820831299,5.064546585083008,9.36410903930664,-10.388642311096191,30.505325317382812,0.030194051563739777,-0.0034887883812189102,0.015680482611060143,0.05724189430475235,-0.02646721340715885,0.0953349843621254
93924000,0,1,1,1171368248954360692736,3.1717965602874756,-1.7072614431381226,5.063342094421387,9.307445526123047,-10.329806327819824,30.306575775146484,0.032672587782144547,-0.004368198104202747,0.01735066995024681,0.0644376203417778,-0.028459442779421806,0.10390838980674744
93925000,0,1,1,1171368248954360692736,3.180527687072754,-1.7103252410888672,5.074363708496094,9.283987998962402,-10.29483413696289,30.148311614990234,0.030542591586709023,-0.004195609129965305,0.02041802555322647,0.07202859222888947,-0.028768984600901604,0.11047890037298203
93926000,0,1,1,1171368248954360692736,3.171980381011963,-1.7028753757476807,5.058006286621094,9.25381851196289,-10.21617317199707,29.876014709472656,0.027712766081094742,-0.003942275419831276,0.019832413643598557,0.07494620233774185,-0.028855063021183014,0.1085585504770279
93927000,0,1,1,1171368248954360692736,3.158792495727539,-1.6921101808547974,5.044005393981934,9.12923526763916,-10.029233932495117,29.52579116821289,0.028701480478048325,-0.0047121671959757805,0.02371949702501297,0.06754355877637863,-0.02461918815970421,0.11470051854848862
93928000,0,1,1,1171368248954360692736,3.1569666862487793,-1.6787450313568115,5.050373554229736,9.049919128417969,-9.938549041748047,29.325401306152344,0.03101041167974472,-0.0015245499089360237,0.024648910388350487,0.06249582767486572,-0.031238380819559097,0.11238230019807816
93929000,0,1,1,1171368248954360692736,3.14275860786438,-1.6591858863830566,5.027760028839111,8.87835693359375,-9.735089302062988,28.839900970458984,0.02660621516406536,-0.0033527538180351257,0.022329939529299736,0.05436239764094353,-0.02835593745112419,0.09897994995117188
93930000,0,1,1,1171368248954360692736,3.1494078636169434,-1.6574177742004395,5.03954553604126,8.694171905517578,-9.506122589111328,28.404367446899414,0.02866283804178238,-0.005983415991067886,0.023608434945344925,0.047892361879348755,-0.02233106829226017,0.09915962815284729
93931000,0,1,1,1171368248954360692736,3.0958447456359863,-1.6039212942123413,4.902426719665527,8.471288681030273,-9.17944622039795,27.5999755859375,0.01912885718047619,-0.0034554768353700638,0.01588839292526245,0.03665958717465401,-0.017141366377472878,0.08042468130588531
93932000,0,1,1,1171368248954360692736,3.0652637481689453,-1.5835082530975342,4.851158142089844,8.271270751953125,-8.937631607055664,26.98743438720703,0.022868769243359566,-0.00430644303560257,0.0177396722137928,0.03724406287074089,-0.01927470602095127,0.07632750272750854
93933000,0,1,1,1171368248954360692736,3.0482890605926514,-1.5546941757202148,4.783048629760742,8.146463394165039,-8.736053466796875,26.512855529785156,0.02826016955077648,-0.0038286251947283745,0.015812311321496964,0.05298229306936264,-0.016237882897257805,0.08649420738220215
93934000,0,1,1,1171368248954360692736,3.0285754203796387,-1.5277745723724365,4.7103352546691895,8.059770584106445,-8.578767776489258,26.054712295532227,0.025528380647301674,-0.0032126624137163162,0.016492828726768494,0.0504768043756485,-0.01738111674785614,0.0817602127790451
93935000,0,1,1,1171368248954360692736,2.9745264053344727,-1.5007199048995972,4.608617305755615,7.775518417358398,-8.320085525512695,25.43181610107422,0.019587650895118713,-0.005108558107167482,0.015307342633605003,0.029786935076117516,-0.017862576991319656,0.07290884852409363
93936000,0,1,1,1171368248954360692736,2.8542633056640625,-1.425504207611084,4.379807472229004,7.3296589851379395,-7.750611305236816,24.152957916259766,0.01069698203355074,-0.0031530587002635,0.009847741574048996,0.017879607155919075,-0.005832255352288485,0.04898257181048393
93937000,0,1,1,1171368248954360692736,2.746525764465332,-1.3632948398590088,4.199245929718018,6.909963607788086,-7.237707138061523,23.049911499023438,0.01333487220108509,-0.004362665582448244,0.011954349465668201,0.02306433953344822,-0.010906740091741085,0.05815809592604637
93938000,0,1,1,1171368248954360692736,2.654120445251465,-1.311923861503601,4.026965141296387,6.545040607452393,-6.78273868560791,22.021820068359375,0.013454082421958447,-0.005539057310670614,0.012145694345235825,0.02074846625328064,-0.007681417744606733,0.05462434142827988
