iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
94028000,316753,2390,18,1,1,1,4
94029000,316419,2390,18,1,1,1,4
94030000,316085,2390,18,1,1,1,4
94031000,315751,2390,18,1,1,1,4
94032000,315418,2390,18,1,1,1,4
94033000,315084,2390,18,1,1,1,4
94034000,314750,2390,18,1,1,1,4
94035000,314417,2390,18,1,1,1,4
94036000,314085,2390,18,1,1,1,4
94037000,313752,2390,18,1,1,1,4
94038000,313419,2390,18,1,1,1,4
94039000,313087,2390,18,1,1,1,4
94040000,312755,2390,18,1,1,1,4
94041000,312424,2390,18,1,1,1,4
94042000,312092,2390,18,1,1,1,4
94043000,311759,2390,18,1,1,1,4
