version,nPorts,mem,alloc,outputPort,reserved0,protIds_01,protIds_02,protIds_03,protIds_04,portId_01,txPending_01,txBytes_01,txUsage_01,txPeakUsage_01,rxPending_01,rxBytes_01,rxUsage_01,rxPeakUsage_01,overrunErrs_01,msgs_01_01,msgs_01_02,msgs_01_03,msgs_01_04,reserved1_01,skipped_01,portId_02,txPending_02,txBytes_02,txUsage_02,txPeakUsage_02,rxPending_02,rxBytes_02,rxUsage_02,rxPeakUsage_02,overrunErrs_02,msgs_02_01,msgs_02_02,msgs_02_03,msgs_02_04,reserved1_02,skipped_02,portId_03,txPending_03,txBytes_03,txUsage_03,txPeakUsage_03,rxPending_03,rxBytes_03,rxUsage_03,rxPeakUsage_03,overrunErrs_03,msgs_03_01,msgs_03_02,msgs_03_03,msgs_03_04,reserved1_03,skipped_03,portId_04,txPending_04,txBytes_04,txUsage_04,txPeakUsage_04,rxPending_04,rxBytes_04,rxUsage_04,rxPeakUsage_04,overrunErrs_04,msgs_04_01,msgs_04_02,msgs_04_03,msgs_04_04,reserved1_04,skipped_04
0,4,0,0,4,0,0,1,5,6,256,0,6126,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1127838,0,0,0,1154303,4,5,0,5427,0,0,0,0,68,768,0,353476,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1142208,7,8,0,524242,4,4,0,1770,0,0,0,0,0
0,4,0,0,4,0,0,1,5,6,256,0,6200,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1133222,0,0,0,1161604,3,5,0,5460,0,0,0,0,68,768,0,359612,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1149112,7,8,0,529394,3,4,0,1785,0,0,0,0,0
0,4,0,0,4,0,0,1,5,6,256,0,6274,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1138850,0,0,0,1168027,4,5,0,5492,0,0,0,0,68,768,0,366058,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1155932,7,8,9,534931,3,4,0,1802,0,0,0,0,0
0,4,0,0,4,0,0,1,5,6,256,0,6348,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1144378,0,0,0,1174595,3,5,0,5521,0,0,0,0,68,768,0,371860,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1162500,7,8,0,540550,3,4,0,1820,0,0,0,0,0
0,4,0,0,4,0,0,1,5,6,256,0,6422,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1149906,0,0,0,1181128,3,5,0,5549,0,0,0,0,68,768,0,377738,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1168984,7,8,9,546087,4,4,0,1837,0,0,0,0,0
0,4,0,0,4,0,0,1,5,6,256,0,6496,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1155594,0,0,0,1187999,4,5,0,5578,0,0,0,0,68,768,0,383864,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1175552,6,8,9,551615,4,4,0,1854,0,0,0,0,0
0,4,0,0,4,0,0,1,5,6,256,0,6570,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1161122,0,0,0,1194132,4,5,0,5606,0,0,0,0,68,768,0,389692,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1182036,7,8,0,557294,3,4,0,1873,0,0,0,0,0
0,4,0,0,4,0,0,1,5,6,256,0,6644,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1166418,0,0,0,1200825,4,5,0,5636,0,0,0,0,68,768,0,395704,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1188688,4,8,0,562822,5,5,0,1890,0,0,0,0,0
0,4,0,0,4,0,0,1,5,6,256,0,6718,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1171802,0,0,0,1207770,4,5,0,5668,0,0,0,0,68,768,0,402276,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1195508,7,8,0,568206,4,5,0,1906,0,0,0,0,0
0,4,0,0,4,0,0,1,5,6,256,0,6792,0,2,0,0,0,0,0,0,0,0,0,0,0,512,0,1177610,0,0,0,1214232,4,5,0,5696,0,0,0,0,68,768,0,407982,13,47,0,16,0,0,0,2,0,0,0,0,0,257,0,1201992,7,8,0,574014,3,5,0,1926,0,0,0,0,0
