ofsI,magI,ofsQ,magQ,cfgSource,reserved0,lowLevCfg,reserved1,postStatus,reserved2
1,153,-8,142,0,9910619,4294967295,18446744073709551615,0,0
7,177,-13,201,0,4564415,4294967295,18446744073709551615,0,0
8,215,0,210,0,15030312,4294967295,18446744073709551615,0,0
10,210,-1,255,0,9480425,4294967295,18446744073709551615,0,0
5,234,-11,238,0,7201492,4294967295,18446744073709551615,0,0
0,199,-22,200,0,332883,4294967295,18446744073709551615,0,0
3,218,-2,178,0,11643139,4294967295,18446744073709551615,0,0
13,201,-17,207,0,15646039,4294967295,18446744073709551615,0,0
-9,168,-25,195,0,76714,4294967295,18446744073709551615,0,0
-2,238,-4,208,0,2047132,4294967295,18446744073709551615,0,0
16,179,-17,181,0,13138147,4294967295,18446744073709551615,0,0
2,220,-8,138,0,4574772,4294967295,18446744073709551615,0,0
14,113,4,71,0,2486636,4294967295,18446744073709551615,0,0
18,147,-2,189,0,12762386,4294967295,18446744073709551615,0,0
-3,246,-7,173,0,15360400,4294967295,18446744073709551615,0,0
-1,134,-12,190,0,10659417,4294967295,18446744073709551615,0,0
-11,151,-4,136,0,12705607,4294967295,18446744073709551615,0,0
2,213,-5,179,0,12779587,4294967295,18446744073709551615,0,0
2,128,-1,113,0,9359585,4294967295,18446744073709551615,0,0
9,255,-8,255,0,8218580,4294967295,18446744073709551615,0,0
-6,234,-7,205,0,14174597,4294967295,18446744073709551615,0,0
1,210,-16,216,0,10415317,4294967295,18446744073709551615,0,0
-4,255,-7,220,0,668306,4294967295,18446744073709551615,0,0
12,138,-8,142,0,1846311,4294967295,18446744073709551615,0,0
-8,66,-7,32,0,14146347,4294967295,18446744073709551615,0,0
0,230,13,174,0,2873986,4294967295,18446744073709551615,0,0
-6,185,-5,151,0,12033718,4294967295,18446744073709551615,0,0
8,239,6,186,0,16612111,4294967295,18446744073709551615,0,0
-12,230,-6,169,0,1266318,4294967295,18446744073709551615,0,0
-2,236,-11,223,0,12751602,4294967295,18446744073709551615,0,0
19,254,-9,194,0,15791550,4294967295,18446744073709551615,0,0
6,161,-11,135,0,3484185,4294967295,18446744073709551615,0,0
9,191,9,150,0,3118927,4294967295,18446744073709551615,0,0
0,180,-16,230,0,13678909,4294967295,18446744073709551615,0,0
6,173,13,144,0,16482384,4294967295,18446744073709551615,0,0
20,197,-3,122,0,15040341,4294967295,18446744073709551615,0,0
-11,152,-9,99,0,12705409,4294967295,18446744073709551615,0,0
25,255,-10,223,0,8435501,4294967295,18446744073709551615,0,0
0,188,10,189,0,2172077,4294967295,18446744073709551615,0,0
-2,172,-3,149,0,10277882,4294967295,18446744073709551615,0,0
0,169,-15,150,0,7330721,4294967295,18446744073709551615,0,0
7,248,-15,148,0,7099069,4294967295,18446744073709551615,0,0
8,162,-2,135,0,3657366,4294967295,18446744073709551615,0,0
2,255,4,255,0,15500250,4294967295,18446744073709551615,0,0
2,162,-9,112,0,10620067,4294967295,18446744073709551615,0,0
15,168,-1,192,0,16516696,4294967295,18446744073709551615,0,0
23,191,-23,210,0,10362201,4294967295,18446744073709551615,0,0
-1,215,14,218,0,12481575,4294967295,18446744073709551615,0,0
9,232,4,255,0,202648,4294967295,18446744073709551615,0,0
3,255,9,255,0,1548127,4294967295,18446744073709551615,0,0
0,156,-6,142,0,4443811,4294967295,18446744073709551615,0,0
0,84,-14,148,0,4583660,4294967295,18446744073709551615,0,0
13,237,1,255,0,14509325,4294967295,18446744073709551615,0,0
9,188,13,140,0,5916919,4294967295,18446744073709551615,0,0
-4,39,-7,61,0,9149972,4294967295,18446744073709551615,0,0
5,240,20,255,0,3788896,4294967295,18446744073709551615,0,0
