iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
94007000,102,24,13,105,105,13.49176,10,5.64163
94008000,99,23,19,104,102,12.85764,12,6.30455
94009000,117,-6,12,118,117,356.87716,10,5.63298
94010000,74,-51,-2,90,90,325.70908,8,6.9869
94011000,31,-96,-7,101,101,287.7376,11,6.05735
94012000,-5,-96,-3,96,96,266.94204,10,4.96188
94013000,-48,-78,-9,92,92,238.56734,8,4.53093
94014000,-43,-65,2,78,78,236.6045,9,5.46344
94015000,-42,-79,-10,90,90,241.81846,10,5.37827
94016000,-48,-77,-5,91,91,238.22194,11,5.6072
94017000,-68,-61,-11,92,91,222.10722,11,6.65858
94018000,-63,-76,-2,99,99,230.58184,11,6.54617
94019000,-45,-92,-16,104,102,243.70566,12,5.51838
94020000,-58,-74,-2,95,94,231.9097,8,5.88983
94021000,-58,-71,-20,94,92,230.83532,9,5.94846
94022000,-69,-70,-3,98,98,225.39686,8,5.88716
94023000,-62,-77,-5,99,99,231.09308,8,5.56013
94024000,-44,-89,-1,100,100,243.60026,9,5.44732
94025000,-44,-83,4,94,94,242.16038,9,6.52738
94026000,-59,-56,-7,81,81,223.59796,10,9.02904
94027000,-70,-79,11,106,105,228.57008,9,6.83377
94028000,-62,-76,18,100,98,230.79646,9,7.8416
94029000,-65,-81,10,104,104,231.0421,10,8.8184
94030000,-40,-82,7,92,92,244.06108,10,9.50854
94031000,-66,-51,-11,84,84,217.44646,13,10.56485
94032000,-57,-64,-3,86,86,228.37176,10,10.05429
94033000,-39,-73,-6,83,83,241.71598,10,10.6367
94034000,-49,-72,-1,87,87,235.32728,10,9.66211
94035000,-67,-43,-14,80,79,212.75468,12,10.49126
94036000,-69,-48,-12,85,84,214.96844,13,11.46085
94037000,-75,-16,-4,77,77,192.21276,12,11.00607
94038000,-69,11,5,70,70,170.7822,11,12.79104
94039000,-34,11,3,36,36,162.78402,10,23.2968
94040000,-23,43,25,55,49,117.79692,10,9.87473
94041000,-26,10,44,52,28,158.042,15,20.15568
94042000,1,-6,22,23,6,133.84128,23,108.98052
94043000,-2,-8,4,9,9,133.84128,9,71.54361
