Epoch,Error_East_m,Error_North_m,Error_Up_m,Error_2D_m,Error_3D_m
1,39.413830134133384,-6.897231529207181,25.6465133972486,40.01277056902971,47.526471129730034
2,39.60937632376134,-6.181180999571377,24.257632552898475,40.088772634078076,46.856615630861
3,39.487894370532864,-6.057033630936897,24.139131669368076,39.94973664775103,46.67632307686362
4,39.819381172384205,-5.511171827490648,23.150093460020376,40.19895685044268,46.3883925036364
5,39.22672938026134,-5.72292964915779,23.489711492093168,39.64200072702521,46.078788695268905
6,38.507544656529845,-6.302364783008672,24.66926139744777,39.01987695178892,46.16409053829995
7,38.90308964021576,-5.967900207322063,23.766369686205216,39.358178520343365,45.977239418005425
8,39.47354987504222,-6.214012810495901,24.57310269612669,39.959668353809604,46.910686107334236
9,38.92475443443887,-7.2913445211154215,26.52568700638538,39.60177032289047,47.66458102058267
10,33.27910389511053,-2.2863251652263474,14.256586542224015,33.35754845342667,36.27638761865121
11,9.342807397503211,6.032434547035025,-27.27311537806139,11.121075336095084,29.453372286652527
12,16.62296283046955,5.307768134162873,-17.57385477423109,17.449793575547165,24.76561461896256
13,24.505161541538442,2.285272484252761,-2.7117526028584957,24.611489440994372,24.760432441362717
14,29.69646167347367,-2.254805947769064,12.08255007559075,29.781940598056828,32.139570658540904
15,30.39144708021591,-0.8105516497655768,10.209557720151015,30.402254021807362,32.07073616940523
16,37.76503483216872,-2.984928535682268,21.91001675398531,37.88281476128783,43.76250093856571
17,42.24962164280919,-6.463053961760946,32.93008917595151,42.74109960533496,53.95546653129119
18,35.21772075659468,-2.843886386112004,18.363194451849505,35.332358328684954,39.81937286727441
19,33.56901985375352,-2.6612190646582086,16.642328090192226,33.674340095268356,37.562325075977384
20,29.856458868889387,-2.7964353830824003,12.87856455042814,29.987133691659146,32.635649402470655
21,5.049402637763239,-4.126615390820528,-10.420202723410199,6.521151860063314,12.292519936081964
22,94.48334404828597,-48.69211311641559,171.41295432270303,106.29216425630155,201.69388957508272
23,75.07616046504639,-43.643226266571226,140.80373184129698,86.83985875811018,165.4292959834031
24,-2.1112957788012423,-4.7728388257963,-16.814484108238926,5.2189616134450105,17.605806887184464
25,26.14359822745808,-3.204536984078297,9.73454582372166,26.339263193207874,28.080565663020607
26,59.27389497071449,-12.359655446954376,62.03632289542895,60.54878783069667,86.6871447571821
27,33.21680909246399,-0.13992279358877613,11.10945781843832,33.21710379719105,35.025648283693826
28,31.814419702413833,-3.6775299612972283,15.70726658861037,32.026263091681116,35.67071279499825
29,32.20120805474239,-3.7342076575139505,15.944180094064087,32.417003362652785,36.1258769566386
30,32.658726503966605,-3.104427439344347,15.329946526335771,32.80594285471833,36.211008644987494
