Epoch,Error_East_m,Error_North_m,Error_Up_m,Error_2D_m,Error_3D_m
31,32.90451666035205,-3.51224029904619,16.132181236175253,33.091434670766844,36.814267886329546
32,33.012080280465774,-3.3326521178805297,16.084381571361302,33.17987363723272,36.87290801002652
33,33.21802490501854,-3.357856602846311,16.352532758592254,33.38730865996405,37.176843695727364
34,33.33431799066003,-3.2706309689874735,16.304399399200715,33.4943843477939,37.25194253467056
35,33.380040514054926,-3.257991010742705,16.366199335449497,33.53865844284814,37.3188168466485
36,33.361098661570956,-3.1641037355540282,16.400908773442442,33.51081103698355,37.30903730935977
37,33.70927496992606,-3.217890725058923,16.491963679818262,33.86251673630452,37.66503558650846
38,31.855773280946885,-0.6273640592419294,9.55655452479331,31.86195030110238,33.26426928966373
39,32.76600267360354,-1.9014185674920854,12.565875328282937,32.8211261807909,35.14438143631707
40,31.547389498586465,-0.9300291238776875,9.919315783770587,31.561095328692005,33.083161335714955
41,28.82540519674486,-1.2498713741250556,7.8966797770961055,28.852489722871105,29.913604174528707
42,29.487646166967714,-2.159078340147103,10.428174774274968,29.566584106845653,31.35171007887772
43,34.321369846134466,-2.8770293686708213,17.047460091983517,34.44174394689303,38.42980121846993
44,36.88723378783641,-2.618139026948868,19.071342749805133,36.980030671741375,41.608157646830236
45,32.96413165750195,-2.1330625637593057,14.252187108426442,33.03307330288894,35.976503015268605
46,60.59963704376132,-11.41475369227091,60.99407853336663,61.66532746763632,86.7345964873609
47,55.50916798972891,-10.336325800697134,53.12607162132719,56.46332758499185,77.52732968369598
48,41.913112827279065,-5.477661281940291,29.266955757078577,42.269537494416625,51.412727016553866
49,32.974793408932065,-2.3506848590487905,13.96922929195067,33.058474248947284,35.88874596136515
50,32.85915937500092,-2.2742544940548566,13.802952542827658,32.93776841766059,35.712996055147656
51,31.447127974448644,-1.1230993419919706,11.759986143808506,31.467176708013277,33.59286358850495
52,26.59994599103724,1.3941978163352118,6.3116539565531,26.636458365878376,27.37403678569247
53,32.34264115188184,-4.012641462745356,17.774232815813658,32.59060797511982,37.12237977795458
54,32.42380429170741,-3.254251169520347,14.600962193093252,32.58670335307438,35.70828100574721
55,35.265446092780934,-4.492425309814371,18.592553762858042,35.550437033700426,40.118781495851366
56,29.8383848254018,-1.1361274023362933,9.309130532435834,29.86000660520871,31.27746642125984
57,31.039582580894958,-1.136097404943234,10.706168821546644,31.0603670955402,32.85374339318388
58,30.758747235855942,-1.8661686524397698,9.775372392930628,30.81530653682719,32.3286408990402
59,31.94226198131579,-2.528187100425602,12.294080272873071,32.04215708247138,34.31973543391058
60,33.619625625858866,-3.0172379375221388,15.512391114908104,33.754747103104314,37.14858315059148
61,41.84593778561639,-1.2789480621837548,30.496101740499146,41.865477631378354,51.79508122081011
62,47.51493389045683,0.1625056439427759,40.60235858905078,47.51521178211033,62.49997498953629
63,65.13847799331953,-14.081934091434732,69.88555204686456,66.64324559204545,96.56765798100678
64,30.845721344023744,-1.779605399795078,10.517790804320018,30.897014752434284,32.638159323337774
65,52.830202256014196,-9.598613576178352,48.59727378390687,53.69509896625728,72.42139650838118
66,47.166409914717605,-7.5256753349663255,38.96605551474079,47.76301930877582,61.64137811461026
67,40.65876931005917,-5.229152488553957,27.666296302402653,40.993652649613445,49.45607655940267
68,35.88120319324622,-5.6263982867459585,23.219332832925488,36.31965170917971,43.107476352510965
69,31.88696228169834,-1.9951253196920646,12.526387168371823,31.949317498120816,34.317186133010374
70,30.113373445594178,0.06897035717404076,6.925094303504377,30.113452428839594,30.89946517816148
71,31.145306335230362,-1.0643494231084079,9.842422056771078,31.163487391654545,32.68082340384687
72,35.90099664096429,-3.594610637907694,19.277902188469003,36.08050422946842,40.90770463177891
73,42.54495980160732,-5.071012779996545,29.074992941243934,42.8461057172676,51.77976428749609
74,29.229039410210895,-0.20935384979058558,5.829758100631631,29.229789152131833,29.805480257663422
75,29.485179263709803,-0.6174875583348509,6.751416005380163,29.491644360696487,30.254565030347145
76,38.365713572428305,-3.7616952020604995,21.851419466738818,38.54968649308078,44.31210739093986
77,32.36106164550269,-1.6700262770531573,11.649074634176301,32.40412471569126,34.434404865231556
78,30.595114920769856,-0.9575972658953198,8.552266716540856,30.610097182772293,31.78237429031407
79,29.601941313594516,-0.5142808573376421,6.4236119060115495,29.60640833221277,30.295250523023757
80,27.8650125327763,0.9391943197973305,5.461732253747163,27.880835880979607,28.4107643092146
81,27.893791974979088,0.9720351982674771,5.5967868890792065,27.91072344404707,28.4663398885745
82,30.23475993540755,-0.8568650271812324,5.9166391211222376,30.246899444844455,30.820148353246548
83,27.844120970476695,1.6173980135121209,5.7066107818447325,27.89105679160711,28.468868182070736
84,30.332114507700236,0.40195184078897483,6.1646972099479544,30.33477766179526,30.954841745369865
85,30.5527558889067,-0.12522001855643694,6.614671032449927,30.553012494027005,31.26084524333439
86,29.896185202380718,-0.20369455469912978,7.294482513116542,29.896879120180117,30.773898944736022
87,29.434641583060234,-1.92236914452873,9.047916668640264,29.49734951230457,30.853823495536385
88,28.422202917524604,-3.3969250084899656,12.41893832140382,28.62447760568302,31.202415727457403
89,29.518336083008716,-3.6850463840558607,12.220597266794886,29.74746597547592,32.15983099332601
90,32.85702048161012,-0.2845613662176554,2.7981272824461545,32.85825269395941,32.977178266019976
91,24.402043510637657,-11.198198761059743,29.918975959573743,26.848824610907148,40.199558523158
92,21.006332431580297,-15.186119539093639,40.366882848551064,25.920729713526658,47.972590713764355
93,19.235132521852954,-17.82686578695184,46.86905240728426,26.225702410407223,53.70749985314898
94,32.513909295072665,-1.2668843927419182,5.7730860331962965,32.538581618023635,33.046751974429675
95,18.198249349633322,-22.70695081009429,54.23903152060831,29.09951708333785,61.55204655230412
96,17.42676286316812,-20.04435205948903,52.04830068406438,26.56064971671133,58.43366938223728
97,19.679622784569602,-18.719615415015063,46.93165339728658,27.160845977786124,54.2244561506343
98,33.77691371701954,-1.3226779452291328,3.5810175787743646,33.80280132169194,33.99195587331317
99,33.08066538665365,-1.1133521138635754,4.760442597771728,33.09939539256253,33.43997292283397
100,33.324089127881294,-0.763215439039012,4.458821829469825,33.33282787297477,33.62972652455444
101,28.406167585813716,-7.791427813273818,20.66145554297192,29.455334054849736,35.97933364359317
102,34.741732003296946,-1.363982709130982,2.5952934304005595,34.76849711189305,34.86522536008617
103,34.01670768353742,-1.2339417922340732,3.8726014853226136,34.03908068637952,34.258663958741565
104,33.90055443585605,-1.4679153186203848,3.824062190997017,33.93232038103318,34.14712020188075
105,33.80642884076094,-1.5252495337148,4.1797341592011,33.84081880075495,34.09796467162113
106,16.64662247645384,-25.544975363067287,60.002608821239974,30.490257561609624,67.30504343307445
107,33.19425478587687,-1.4852421215984966,3.4900887730955006,33.22746597243732,33.410256128823185
108,17.408898256948298,-23.280108134131183,54.68159174548887,29.069454299274668,61.928262118986794
109,32.67524119887399,-1.6456747370834495,3.598315899513876,32.716656808801034,32.91394096819099
110,32.37062808901968,-1.470281268509979,3.3838525500399133,32.40400114007777,32.580204848443984
111,11.288319068243808,-23.335616247814592,53.181711122321595,25.9225217340394,59.16309264186423
112,32.0598143733278,-1.2351097495237342,3.1969812513244573,32.08359695772287,32.242485680650056
113,31.821157771814285,-1.148035086386228,2.931597609849751,31.84186028639455,31.97652781407555
114,21.269151323453716,-11.982828121796892,27.493211010860662,24.412393733849605,36.7673988678042
115,31.392469451115403,-1.018848204473965,2.8707816531530312,31.40899854982603,31.53992037407599
116,31.17899253711429,-1.1075460410417053,-0.40793046676350286,31.198657565069297,31.201324348946628
117,31.345984402726558,-0.8566037234628165,2.601550826779718,31.35768658742266,31.465418713555128
118,30.705189515049142,-1.433746103580205,3.976069193242189,30.738644912302416,30.994732089083538
119,28.62724807096199,-3.3925949610491255,5.24774393976363,28.827574172762663,29.30132845356092
120,31.06972593158584,-0.8256611104658571,-3.528233866629641,31.080694743412565,31.28031361656762
121,30.938641211374808,-0.8465577886304487,-3.8649140952201506,30.95022100237203,31.19060340966654
122,29.136975079711785,-2.6274109804910815,1.6569977154224844,29.255197918594753,29.302086046646338
123,30.532775533958244,-1.160082126119704,-1.269882781997854,30.554806043344826,30.581183342480976
124,30.383595985676617,-1.2849694006844476,3.4048907940549515,30.41075552138617,30.600773400372738
125,31.04687082197154,-0.541425903192085,-2.7523442756357603,31.051591422096795,31.173333617957194
126,31.057982015377302,-0.835416987568852,4.262475490790205,31.06921576755066,31.360243393829162
127,30.891335029588316,-0.9766098070582121,2.9621492875258717,30.906768621541666,31.04839247090101
128,31.553686339860164,-1.2800836886560223,2.460480107004166,31.579641161422987,31.675348431251777
129,30.956442619863196,-0.7915052630075792,1.254608435127821,30.966559709761935,30.991964484100475
130,31.068980215778787,-0.7199414034724363,1.7702892889301367,31.07732046481626,31.12770103042286
131,30.560319132340368,-0.6240175979186429,1.1347986391915725,30.566689441825407,30.58774707925564
132,31.40298410750083,-1.0704190752790321,2.6345108189972777,31.4212222526857,31.531474039570124
133,31.45503498997756,-1.1927993752760484,3.435935538707062,31.477642805177954,31.664611944511833
134,31.661795587239045,-1.1923290743294235,3.97137935189253,31.684238170257483,31.932159375561177
135,31.566670607660416,-1.2440649982200807,3.521580270223856,31.591175840293257,31.786851347246685
136,32.68578520972116,-3.952895002012072,5.308340935300841,32.923941648486725,33.34912918140966
137,33.287448284686704,-4.003032458940657,6.797770915244174,33.52727967153053,34.20947488034804
138,33.554346722407686,-4.386124946996412,7.158960644091458,33.83980313208421,34.58876976016733
139,39.388529639875884,-6.78283701313717,16.32094016738756,39.96827673465751,43.17216965923313
140,44.372102624082146,-8.842363729162184,24.549464282806795,45.244567492693314,51.475694110654665
141,54.15696825488795,-14.118735713050743,39.77258216634026,55.967096661305526,68.65984416581648
142,57.32802030726359,-16.975745252697898,43.09923974702619,59.7886096111502,73.7036112141472
143,57.67868282770512,-19.0157385670233,48.539115445887276,60.73243586411122,77.74621852063002
144,57.51917594279911,-19.332546407708886,49.31803374120201,60.68115812791395,78.19508554789897
145,58.24632292015409,-19.083203579343095,49.27709784227858,61.29276297059483,78.64499452811359
146,43.605493336751806,-13.13056780047876,29.728274918759976,45.539552697676726,54.38401593804791
147,42.8599681015321,-10.206934983678845,32.704962888536905,44.058579044556076,54.870511068933666
148,42.102842930364254,-8.721209902618494,25.44775332437411,42.99661480842944,49.962956620306684
149,41.12854668871755,-5.550618984119352,19.24931518295228,41.50140628741254,45.74825525465996
150,39.95342765162121,-3.790604406589177,18.44705595105599,40.13284269623301,44.16943441048316
151,38.84850496478511,-2.185058341846823,18.013248845809407,38.90990642440826,42.87724282107306
152,36.686988624969835,-2.563357253183555,15.072011123461058,36.776431784175514,39.745080879045254
153,35.99081989124108,-3.8976373737751926,15.562416012671283,36.2012526515479,39.40456173709652
154,36.904123237078124,-3.759867828031,13.335158462890181,37.09516030403039,39.41925125128715
